field_id,description,data_type,length,decimals,display_type,value_table_value_table_id,active,source_table,source_field,main_group_group_id,sub_group_group_id,validation_validation_id,grid,grid_overview
TITLE_MEDI,Title text,STRING,,,SEARCH_HELP,,true,BUS000FLDS,TITLE_MEDI,ADDRESS,ADDR_NAME,,false,false
BUILDING,Building (Number or Code),STRING,,,INPUT,,true,ADDR1_DATA,BUILDING,ADDRESS,ADDR_STD_ADDR,,false,false
CITY1,City,STRING,,,INPUT,,true,ADDR1_DATA,CITY1,ADDRESS,ADDR_STD_ADDR,,false,false
CITY2,District,STRING,,,INPUT,,true,ADDR1_DATA,CITY2,ADDRESS,ADDR_STD_ADDR,,false,false
COUNTRY,Country Key,STRING,,,SEARCH_HELP,T005,true,ADDR1_DATA,COUNTRY,ADDRESS,ADDR_STD_ADDR,,false,false
DONT_USE_P,PO Box Address Undeliverable Flag,STRING,,,INPUT,,true,ADDR1_DATA,DONT_USE_P,ADDRESS,ADDR_STD_ADDR,,false,false
DONT_USE_S,Street Address Undeliverable Flag,STRING,,,SEARCH_HELP,TSAD12,true,ADDR1_DATA,DONT_USE_S,ADDRESS,ADDR_STD_ADDR,,false,false
EXTENSION1,Extension 1,STRING,,,INPUT,,true,ADDR1_DATA,EXTENSION1,ADDRESS,ADDR_COMM,,false,false
EXTENSION2,Extension 2,STRING,,,INPUT,,true,ADDR1_DATA,EXTENSION2,ADDRESS,ADDR_COMM,,false,false
FLOOR,Floor in building,STRING,,,INPUT,,true,ADDR1_DATA,FLOOR,ADDRESS,ADDR_STD_ADDR,,false,false
HOME_CITY,City (different from postal city),STRING,,,INPUT,,true,ADDR1_DATA,HOME_CITY,ADDRESS,ADDR_STD_ADDR,,false,false
HOUSE_NUM1,House Number,STRING,,,INPUT,,true,ADDR1_DATA,HOUSE_NUM1,ADDRESS,ADDR_STD_ADDR,,false,false
HOUSE_NUM2,House number supplement,STRING,,,INPUT,,true,ADDR1_DATA,HOUSE_NUM2,ADDRESS,ADDR_STD_ADDR,,false,false
LANGU,Language Key,STRING,,,SEARCH_HELP,,true,ADDR1_DATA,LANGU,ADDRESS,ADDR_COMM,,false,false
LOCATION,Street 5,STRING,,,INPUT,,true,ADDR1_DATA,LOCATION,ADDRESS,ADDR_STD_ADDR,,false,false
NAME_CO,c/o name,STRING,,,INPUT,,true,ADDR1_DATA,NAME_CO,ADDRESS,ADDR_STD_ADDR,,false,false
PO_BOX,PO Box,STRING,,,INPUT,,true,ADDR1_DATA,PO_BOX,ADDRESS,ADDR_PO_BOX,,false,false
PO_BOX_CTY,PO box country,STRING,,,SEARCH_HELP,T005,true,ADDR1_DATA,PO_BOX_CTY,ADDRESS,ADDR_PO_BOX,,false,false
PO_BOX_LOBBY,PO Box Lobby,STRING,,,INPUT,,true,ADDR1_DATA,PO_BOX_LOBBY,ADDRESS,ADDR_PO_BOX,,false,false
PO_BOX_LOC,PO Box city,STRING,,,INPUT,,true,ADDR1_DATA,PO_BOX_LOC,ADDRESS,ADDR_PO_BOX,,false,false
PO_BOX_REG,Region for PO Box,STRING,,,SEARCH_HELP,T005S,true,ADDR1_DATA,PO_BOX_REG,ADDRESS,ADDR_PO_BOX,,false,false
POST_CODE1,City postal code,STRING,,,INPUT,,true,ADDR1_DATA,POST_CODE1,ADDRESS,ADDR_PO_BOX,,false,false
POST_CODE2,PO Box Postal Code,STRING,,,INPUT,,true,ADDR1_DATA,POST_CODE2,ADDRESS,ADDR_PO_BOX,,false,false
REGION,Region (State Province County),STRING,,,SEARCH_HELP,T005S,true,ADDR1_DATA,REGION,ADDRESS,ADDR_STD_ADDR,,false,false
REMARK,Address notes,STRING,,,INPUT,,true,ADDR1_DATA,REMARK,ADDRESS,ADDR_COMM,,false,false
ROOMNUMBER,Room or Appartment Number,STRING,,,INPUT,,true,ADDR1_DATA,ROOMNUMBER,ADDRESS,ADDR_STD_ADDR,,false,false
STR_SUPPL1,Street 2,STRING,,,INPUT,,true,ADDR1_DATA,STR_SUPPL1,ADDRESS,ADDR_STD_ADDR,,false,false
STR_SUPPL2,Street 3,STRING,,,INPUT,,true,ADDR1_DATA,STR_SUPPL2,ADDRESS,ADDR_STD_ADDR,,false,false
STR_SUPPL3,Street 4,STRING,,,INPUT,,true,ADDR1_DATA,STR_SUPPL3,ADDRESS,ADDR_STD_ADDR,,false,false
STREET,Street,STRING,,,INPUT,,true,ADDR1_DATA,STREET,ADDRESS,ADDR_STD_ADDR,,false,false
TIME_ZONE,Address time zone,STRING,,,SEARCH_HELP,TTZZ,true,ADDR1_DATA,TIME_ZONE,ADDRESS,ADDR_STD_ADDR,,false,false
TRANSPZONE,Transportation zone,STRING,,,SEARCH_HELP,TZONE,true,ADDR1_DATA,TRANSPZONE,ADDRESS,ADDR_STD_ADDR,,false,false
ADDR_VALID_FROM,Valid From Date of a BP Address,STRING,,,SEARCH_HELP,,true,BUS000FLDS,ADDR_VALID_FROM,ADDRESS,ADDR_COMM,,false,false
ADDR_VALID_TO,Validity End of a BP Address,STRING,,,SEARCH_HELP,,true,BUS000FLDS,ADDR_VALID_TO,ADDRESS,ADDR_COMM,,false,false
ADEXT,Address number in external system,STRING,,,INPUT,,true,BUS000FLDS,ADEXT,ADDRESS,ADDR_COMM,,false,false
BU_SORT1_TXT,Search Term 1 for Business Partner,STRING,,,INPUT,,true,BUS000FLDS,BU_SORT1_TXT,ADDRESS,ADDR_SEARCH_TERM,,false,false
BU_SORT2_TXT,Search Term 2 for Business Partner,STRING,,,INPUT,,true,BUS000FLDS,BU_SORT2_TXT,ADDRESS,ADDR_SEARCH_TERM,,false,false
NAME_ORG1,Name 1 of organization,STRING,,,INPUT,,true,BUT000,NAME_ORG1,ADDRESS,ADDR_NAME,,false,false
NAME_ORG2,Name 2 of organization,STRING,,,INPUT,,true,BUT000,NAME_ORG2,ADDRESS,ADDR_NAME,,false,false
NAME_ORG3,Name 3 of organization,STRING,,,INPUT,,true,BUT000,NAME_ORG3,ADDRESS,ADDR_NAME,,false,false
NAME_ORG4,Name 4 of organization,STRING,,,INPUT,,true,BUT000,NAME_ORG4,ADDRESS,ADDR_NAME,,false,false
TITLE_LET,Salutation,STRING,,,INPUT,,true,BUT000,TITLE_LET,ADDRESS,ADDR_NAME,,false,false
FAX_COUNTR,Country for fax number,STRING,,,SEARCH_HELP,T005,true,SZA11_0100,FAX_COUNTR,ADDRESS,ADDR_INDEP_COMM,,false,false
FAX_EXTENS,First fax no.: extension,STRING,,,INPUT,,true,SZA11_0100,FAX_EXTENS,ADDRESS,AIC_COMM,,false,false
FAX_NUMBER,First fax no.: dialling code+number,STRING,,,INPUT,,true,SZA11_0100,FAX_NUMBER,ADDRESS,AIC_COMM,,false,false
MOB_COUNTR,Country for mobile number,STRING,,,SEARCH_HELP,T005,true,SZA11_0100,MOB_COUNTR,ADDRESS,ADDR_INDEP_COMM,,false,false
MOB_NUMBER,First Cell Phone Number,STRING,,,INPUT,,true,SZA11_0100,MOB_NUMBER,ADDRESS,AIC_COMM,,false,false
SMTP_ADDR,E-Mail Address,STRING,,,INPUT,,true,SZA11_0100,SMTP_ADDR,ADDRESS,AIC_COMM,,false,false
TEL_COUNTR,Country for telephone number,STRING,,,SEARCH_HELP,T005,true,SZA11_0100,TEL_COUNTR,ADDRESS,ADDR_INDEP_COMM,,false,false
TEL_EXTENS,First Telephone No.: Extension,STRING,,,INPUT,,true,SZA11_0100,TEL_EXTENS,ADDRESS,AIC_COMM,,false,false
TEL_NUMBER,First telephone no.: dialling code+number,STRING,,,INPUT,,true,SZA11_0100,TEL_NUMBER,ADDRESS,AIC_COMM,,false,false
POST_CODE3,Company Postal Code,STRING,,,INPUT,,true,ADDR1_DATA,POST_CODE3,ADDRESS,ADDR_PO_BOX,,false,false
REGIOGROUP,Structure group,STRING,,,SEARCH_HELP,,true,ADDR1_DATA,REGIOGROUP,ADDRESS,ADDR_STD_ADDR,,false,false
TAXJURCODE,Tax Jurisdiction,STRING,,,SEARCH_HELP,,true,ADDR1_DATA,TAXJURCODE,ADDRESS,ADDR_STD_ADDR,,false,false
PO_BOX_NUM,Flag: PO Box Without Number,STRING,,,INPUT,,true,ADDR1_DATA,PO_BOX_NUM,ADDRESS,ADDR_PO_BOX,,false,false
DELI_SERV_TYPE,Type of Delivery Service,STRING,,,SEARCH_HELP,,true,ADDR1_DATA,DELI_SERV_TYPE,ADDRESS,ADDR_PO_BOX,,false,false
DELI_SERV_NUMBER,Number of Delivery Service,STRING,,,INPUT,,true,ADDR1_DATA,DELI_SERV_NUMBER,ADDRESS,ADDR_PO_BOX,,false,false
NATPERS,Natural Person,STRING,,,INPUT,,true,BUT000,NATPERS,IDENTIFICATION,IDEN_TAX_NUM,,false,false
MILVE,Military Use,STRING,,,INPUT,,true,BUT000,MILVE,IDENTIFICATION,IDEN_NO_SUBGRP,,false,false
NUC_SEC,Nuclear Sector,STRING,,,INPUT,,true,BUT000,NUC_SEC,IDENTIFICATION,IDEN_NO_SUBGRP,,false,false
LEGAL_ENTY,BP: Legal form of organization,STRING,,,SEARCH_HELP,,true,BUT000,LEGAL_ENTY,IDENTIFICATION,IDEN_ORG_DATA,,false,false
LEGAL_ORG,Legal Entity of Organization,STRING,,,SEARCH_HELP,,true,BUT000,LEGAL_ORG,IDENTIFICATION,IDEN_ORG_DATA,,false,false
